region,legacy_dist_id,legacy_name,new_name,capital,category,pop2010,pop2021,status
Ahafo,141,Asunafo North Municipal,Asunafo North Municipal,Goaso,Municipal,124685,150198,MATCHED_EXACT
Ahafo,140,Asunafo South,Asunafo South,Kukuom,District,95580,91693,MATCHED_EXACT
Ahafo,143,Asutifi North,Asutifi North,Kenyasi,District,52259,73556,MATCHED_EXACT
Ahafo,142,Asutifi South,Asutifi South,Hwidiem,District,53584,68394,MATCHED_EXACT
Ahafo,145,Tano North,Tano North Municipal,Duayaw Nkwanta,Municipal,79973,93608,MATCHED_EXACT
Ahafo,144,Tano South,Tano South Municipal,Bechem,Municipal,78129,87219,MATCHED_EXACT
Ashanti,,,Adansi Asokwa,Adansi Asokwa,District,67133,71844,NEW
Ashanti,111,Adansi North,Adansi North,Fomena,District,39958,54155,MATCHED_EXACT
Ashanti,110,Adansi South,Adansi South,New Edubiase,District,40523,85200,MATCHED_EXACT
Ashanti,124,Afigya Kwabre,Afigya Kwabre North,Boamang,District,41593,73330,MATCHED_FUZZY
Ashanti,,,Afigya Kwabre South,Kodie,District,94547,234667,NEW
Ashanti,139,Ahafo Ano North,Ahafo Ano North Municipal,Tepa,Municipal,94285,92742,MATCHED_EXACT
Ashanti,138,Ahafo Ano South,Ahafo Ano South East,Adugyama,District,58962,63468,MATCHED_FUZZY
Ashanti,,,Ahafo Ano South West,Mankranso,District,62697,65770,NEW
Ashanti,,,Akrofuom,Akrofuom,District,74855,49291,NEW
Ashanti,115,Amansie Central,Amansie Central,Jacobu,District,90741,93052,MATCHED_EXACT
Ashanti,116,Amansie West,Amansie West,Manso Nkwanta,District,74104,109416,MATCHED_EXACT
Ashanti,,,Amansie South,Manso Adubia,District,60227,116366,NEW
Ashanti,127,Asante Akim Central Municipal,Asante Akim Central Municipal,Konongo,Municipal,71508,91673,MATCHED_EXACT
Ashanti,128,Asante Akim North,Asante Akim North,Agogo,District,69186,85788,MATCHED_EXACT
Ashanti,126,Asante Akim South,Asante Akim South Municipal,Juaso,Municipal,117245,123633,MATCHED_EXACT
Ashanti,122,Asokore Mampong Municipal,Asokore Mampong Municipal,Asokore Mampong,Municipal,304815,191402,MATCHED_EXACT
Ashanti,,,Asokwa Municipal,Asokwa,Municipal,140161,125642,NEW
Ashanti,120,Atwima Kwanwoma,Atwima Kwanwoma,Twedie,District,90634,234846,MATCHED_EXACT
Ashanti,118,Atwima Mponua,Atwima Mponua,Nyinahin,District,119180,155254,MATCHED_EXACT
Ashanti,117,Atwima Nwabiagya,Atwima Nwabiagya Municipal,Nkawie,Municipal,85994,161893,MATCHED_EXACT
Ashanti,,,Atwima Nwabiagya North,Barekese,District,63031,155025,NEW
Ashanti,113,Bekwai Municipal,Bekwai Municipal,Bekwai,Municipal,118024,137967,MATCHED_EXACT
