suggested_filename,display_name,primary_candidate_id,years_contested,parties_contested,current_photo_url,candidate_ids,image_filename
cmrel77ot0009791gz8ngl3dr.jpg,Akua Donkor,cmrel77ot0009791gz8ngl3dr,2020;2024,GFP,,cmrel77ot0009791gz8ngl3dr;cmr8te7rb0009793gm473nnn8,cmrel77ot0009791gz8ngl3dr.png
cmr8tel39000t793gpg2l31hg.jpg,Alan John Kwadwo Kyerematen,cmr8tel39000t793gpg2l31hg,2024,IND,,cmr8tel39000t793gpg2l31hg,cmr8tel39000t793gpg2l31hg.png
cmrel7hm8000n791gzgv2085l.jpg,Alfred Kwame Asiedu Walker,cmrel7hm8000n791gzgv2085l,2020,IND,,cmrel7hm8000n791gzgv2085l,cmrel7hm8000n791gzgv2085l.png
cmr5c3pca002c7964eqflntdc.jpg,Augustus Obuadum Goosie Tanoh,cmr5c3pca002c7964eqflntdc,2000,NRP,,cmr5c3pca002c7964eqflntdc,cmr5c3pca002c7964eqflntdc.png
cmrel7et5000j791g8wcflly8.jpg,Brigitte Dzogbenuku,cmrel7et5000j791g8wcflly8,2020,PPP,,cmrel7et5000j791g8wcflly8,cmrel7et5000j791g8wcflly8.png
cmrel74y00005791gjqk8p3pd.jpg,Christian Kwabena Andrews,cmrel74y00005791gjqk8p3pd,2020;2024,GUM,,cmrel74y00005791gjqk8p3pd;cmr8te911000b793gtddd7gi3,cmrel74y00005791gjqk8p3pd.png
cmr5c3pca002a79644kwjupk0.jpg,Daniel Augustus Lartey,cmr5c3pca002a79644kwjupk0,2000,GCPP,,cmr5c3pca002a79644kwjupk0,cmr5c3pca002a79644kwjupk0.png
cmr8te6hm0007793gnn764d15.jpg,Daniel Augustus Lartey Jnr,cmr8te6hm0007793gnn764d15,2024,GCPP,,cmr8te6hm0007793gnn764d15,cmr8te6hm0007793gnn764d15.png
cmrel7de0000h791g2m775y0k.jpg,David Apasera,cmrel7de0000h791g2m775y0k,2020,PNC,,cmrel7de0000h791g2m775y0k,cmrel7de0000h791g2m775y0k.png
cmr5c3pca002b79646pe29xe7.jpg,Dr. Charles Wereko-Brobbey,cmr5c3pca002b79646pe29xe7,2000,UGM,,cmr5c3pca002b79646pe29xe7,cmr5c3pca002b79646pe29xe7.png
cmr5c3pca00257964b3e81z2w.jpg,Dr. Edward Nasigri Mahama,cmr5c3pca00257964b3e81z2w,1996;2000;2004;2008;2016,PNC,,cmr5c3pca00257964b3e81z2w;cmr5c3pca00287964b802t9nx;cmr5c3pca002h7964kapkyld6;cmr5c3pca002l7964ejdfj2oa;cmr6cxem300w579w4ix54ftfk,cmr5c3pca00257964b3e81z2w.png
cmr5c3pcb002y7964zj8uwlw4.jpg,Dr. Henry Herbert Lartey,cmr5c3pcb002y7964zj8uwlw4,2012,GCPP,,cmr5c3pcb002y7964zj8uwlw4,cmr5c3pcb002y7964zj8uwlw4.png
cmr5c3pca00207964euz3j2qe.jpg,Dr. Hilla Limann,cmr5c3pca00207964euz3j2qe,1992,PNC,,cmr5c3pca00207964euz3j2qe,cmr5c3pca00207964euz3j2qe.png
cmr5c3pcb002x7964j1b5rwnl.jpg,Dr. Michael Abu Sakara Foster,cmr5c3pcb002x7964j1b5rwnl,2012,CPP,,cmr5c3pcb002x7964j1b5rwnl,cmr5c3pcb002x7964j1b5rwnl.png
cmr5c3pcb002m7964pmwawklm.jpg,Dr. Paa Kwesi Nduom,cmr5c3pcb002m7964pmwawklm,2008;2012;2016,CPP;PPP,,cmr5c3pcb002m7964pmwawklm;cmr5c3pcb002w7964jtbfacyw;cmr6cxbcw00w179w4jm1dst38,cmr5c3pcb002m7964pmwawklm.png
cmr5c3pcb002p79640n013gfv.jpg,Emmanuel Ansah-Antwi,cmr5c3pcb002p79640n013gfv,2008,DFP,,cmr5c3pcb002p79640n013gfv,cmr5c3pcb002p79640n013gfv.png
cmr5c3pca001y79649ry9yatr.jpg,Flt. Lt. Jerry John Rawlings,cmr5c3pca001y79649ry9yatr,1992;1996,NDC,,cmr5c3pca001y79649ry9yatr;cmr5c3pca0023796422re99yw,cmr5c3pca001y79649ry9yatr.png
cmr5c3pca002179645k737e4a.jpg,Gen. Emmanuel Erskine,cmr5c3pca002179645k737e4a,1992,PHP,,cmr5c3pca002179645k737e4a,cmr5c3pca002179645k737e4a.png
