region,region_id,constituency_id,constituency_name,constituency_slug,total_registered_voters,total_valid_votes,total_rejected,total_vote_cast,turnout
western-north,1,45,Aowin,aowin,76454,42754,1611,44365,58.03
western-north,1,85,Bia East,bia-east,34672,20803,1044,21847,63.01
western-north,1,87,Bibiani-Anhwiaso-Bekwai,bibiani-anhwiaso-bekwai,99446,64608,1526,66134,66.50
western-north,1,93,Bodi,bodi,35002,22011,580,22591,64.54
western-north,1,146,Juaboso,juaboso,58510,38753,1287,40040,68.43
western-north,1,230,Sefwi Akontombra,sefwi-akontombra,42367,29716,0,29716,70.14
western-north,1,231,Sefwi Wiawso,sefwi-wiawso,87505,57917,0,57917,66.19
western-north,1,245,Suaman,suaman,24710,16990,525,17515,70.88
western-north,1,561,Bia West,bia-west,63840,38433,0,38433,60.20
western,2,28,Ahanta West,ahanta-west,86062,47079,1422,48501,56.36
western,2,40,Amenfi Central,amenfi-central,70915,48575,0,48575,68.50
western,2,41,Amenfi East,amenfi-east,101111,55221,1361,56582,55.96
western,2,42,Amenfi West,amenfi-west,82823,43836,1371,45207,54.58
western,2,71,Evalue Ajomoro Gwira,avalue-ajomoro-gwira,55131,30168,1005,31173,56.54
western,2,120,Effia,effia,51013,28767,0,28767,56.39
western,2,126,Ellembele,ellembele,79227,44517,1022,45539,57.48
western,2,127,Essikado-Ketan,essikado-ketan,79344,43454,851,44305,55.84
western,2,143,Jomoro,jomoro,85969,47126,1494,48620,56.56
western,2,169,Kwesimintsim,kwesimintsim,58002,30955,0,30955,53.37
western,2,184,Mpohor,mpohor,33209,19797,484,20281,61.07
western,2,219,Prestea Huni-Valley,prestea-huni-valley,144526,77332,0,77332,53.51
western,2,233,Sekondi,sekondi,41634,25480,375,25855,62.10
western,2,239,Shama,shama,67799,39493,1092,40585,59.86
western,2,252,Takoradi,takoradi,55640,31963,338,32301,58.05
western,2,259,Tarkwa Nsuaem,tarkwa-nsuaem,140050,75565,1347,76912,54.92
western,2,389,Wassa East,wassa-east,56252,32721,1168,33889,60.24
central,3,10,Abura Asebu Kwamankese,abura-asebu-kwamankese,76196,48835,1542,50377,66.12
central,3,22,Agona East,agona-east,64838,39290,1088,40378,62.28
central,3,23,Agona West,agona-west,89066,52771,1088,53859,60.47
central,3,29,Ajumako Enyan Esiam,ajumako-enyan-esiam,88261,51353,1352,52705,59.71
central,3,53,Asikuma Odoben Brakwa,asikuma-odoben-brakwa,74968,46476,1540,48016,64.05
central,3,55,Assin Central,assin-central,52441,31782,1424,33206,63.32
central,3,57,Assin North,assin-north,46675,30984,950,31934,68.42
central,3,58,Assin South,assin-south,61020,37748,1424,39172,64.20
central,3,72,Awutu Senya East,awutu-senya-east,173995,93422,1280,94702,54.43
central,3,73,Awutu Senya West,awutu-senya-west,98849,60087,0,60087,60.79
central,3,106,Cape Coast North,cape-coast-north,70592,40495,685,41180,58.34
central,3,107,Cape Coast South,cape-coast-south,54760,37188,538,37726,68.89
central,3,122,Effutu,effutu,80391,58245,0,58245,72.45
central,3,125,Ekumfi,ekumfi,43826,28803,1065,29868,68.15
central,3,132,Gomoa Central,gomoa-central,57418,35280,1454,36734,63.98
central,3,133,Gomoa East,gomoa-east,116469,58830,1433,60263,51.74
central,3,134,Gomoa West,gomoa-west,81042,20764,0,20764,25.62
central,3,136,Hemang Lower Denkyira,hemang-lower-denkyira,41741,26835,833,27668,66.28
central,3,156,Komenda Edina Eguafo Abrem,komenda-edina-eguafo-abrem,98247,54360,1971,56331,57.34
central,3,181,Mfantseman,mfantseman,99130,59929,1895,61824,62.37
central,3,270,Upper Denkyira East,upper-denkyira-east,70041,51353,825,52178,74.50
central,3,272,Upper Denkyira West,upper-denkyira-west,54371,34672,0,34672,63.77
central,3,269,Twifo Atti Morkwa,twifo-atti-morkwaa,57823,34672,1155,35827,61.96
greater-accra,4,3,Ablekuma Central,ablekuma-central,130852,77628,0,77628,59.33
greater-accra,4,4,Ablekuma North,ablekuma-north,121266,0,0,0,N/A
greater-accra,4,5,Ablekuma South,ablekuma-south,81144,48597,0,48597,59.89
greater-accra,4,6,Ablekuma West,ablekuma-west,99579,56890,615,57505,57.75
greater-accra,4,12,Ada,ada,47784,29433,0,29433,61.60
greater-accra,4,15,Adentan,adentan,163063,28691,0,28691,17.60
greater-accra,4,39,Amasaman,amasaman,170371,94166,0,94166,55.27
greater-accra,4,44,Anyaa-Sowutuom,anyaa-sowutuom,144301,80726,0,80726,55.94
greater-accra,4,52,Ashaiman,ashaiman,174633,94208,0,94208,53.95
greater-accra,4,74,Ayawaso Central,ayawaso-central,88312,53207,0,53207,60.25
greater-accra,4,75,Ayawaso East,ayawaso-east,49966,31379,0,31379,62.80
greater-accra,4,76,Ayawaso North,ayawaso-north,62777,36667,0,36667,58.41
greater-accra,4,77,Ayawaso West Wuogon,ayawaso-west-wuogon,120586,67978,0,67978,56.37
greater-accra,4,98,Bortianor-Ngleshie Amanfro,bortianor-ngleshie-amanfro,117491,65058,0,65058,55.37
greater-accra,4,112,Dadekotopon,dadekotopon,126503,72814,0,72814,57.56
greater-accra,4,115,Dome/Kwabenya,dome-kwabenya,182644,28447,0,28447,15.58
greater-accra,4,116,Domeabra-Obom,domeabra-obom,58661,94208,0,94208,160.60
greater-accra,4,157,Korle Klottey,korle-klottey,105852,60166,0,60166,56.84
greater-accra,4,160,Kpone Katamanso,kpone-katamanso,136927,75539,0,75539,55.17
greater-accra,4,164,Krowor,krowor,68191,61580,0,61580,90.31
greater-accra,4,172,Ledzokuku,ledzokuku,162058,60166,0,60166,37.13
greater-accra,4,175,Madina,madina,158918,86265,0,86265,54.28
greater-accra,4,196,Ningo Prampram,ningo-prampram,104044,58228,0,58228,55.96
greater-accra,4,208,Odododiodio,odododiodio,109017,63367,0,63367,58.13
greater-accra,4,214,Okaikwei Central,okaikwei-central,65431,0,0,0,N/A
greater-accra,4,215,Okaikwei North,okaikwei-north,83617,49367,0,49367,59.04
greater-accra,4,216,Okaikwei South,okaikwei-south,97109,56892,0,56892,58.59
greater-accra,4,232,Sege,sege,47784,31310,0,31310,65.52
greater-accra,4,237,Shai-Osudoku,shai-osudoku,71951,42026,0,42026,58.41
greater-accra,4,263,Tema Central,tema-central,92967,37865,0,37865,40.73
greater-accra,4,264,Tema East,tema-east,108153,60014,0,60014,55.49
greater-accra,4,265,Tema West,tema-west,136927,76754,0,76754,56.05
greater-accra,4,268,Trobu,trobu,145343,79958,0,79958,55.01
greater-accra,4,390,Weija-Gbawe,weija-gbawe,118731,66747,0,66747,56.22
eastern,5,1,Abetifi,abetifi,48720,30356,518,30874,63.37
eastern,5,2,Abirem,abirem,48442,29803,584,30387,62.73
eastern,5,7,Abuakwa North,abuakwa-north,48001,29803,0,29803,62.09
eastern,5,11,Achiase,achiase,34681,23261,715,23976,69.13
eastern,5,20,Afram Plains North,afram-plains-north,40047,24142,0,24142,60.28
eastern,5,21,Afram Plains South,afram-plains-south,37338,22380,0,22380,59.94
eastern,5,33,Akim Oda,akim-oda,45773,26626,383,27009,59.01
eastern,5,34,Akim Swedru,akim-swedru,22400,14159,306,14465,64.58
eastern,5,36,Akropong / Akuapem North,akropong,71255,42151,0,42151,59.16
eastern,5,37,Akuapim South,akuapem-south,49174,30419,650,31069,63.18
eastern,5,38,Akwatia,akwatia,52328,36112,0,36112,69.01
eastern,5,61,Asuogyaman,asuogyaman,69698,46931,0,46931,67.33
eastern,5,65,Atiwa East,atiwa-east,40022,25855,571,26426,66.03
eastern,5,66,Atiwa West,atiwa-west,37843,46931,0,46931,124.02
eastern,5,78,Ayensuano,ayensuano,59342,35760,0,35760,60.26
eastern,5,128,Fanteakwa North,fanteakwa-north,34871,22238,580,22818,65.44
eastern,5,129,Fanteakwa South,fanteakwa-south,30942,18663,339,19002,61.41
eastern,5,147,Kade,kade,70957,40988,1170,42158,59.41
eastern,5,173,Lower Manya Krobo,lower-manya-krobo,78718,44332,0,44332,56.32
eastern,5,174,Lower West Akim,lower-west-akim,70797,44234,0,44234,62.48
eastern,5,185,Mpraeso,mpraeso,48822,28305,506,28811,59.01
eastern,5,193,New Juaben North,new-juaben-north,47036,28155,0,28155,59.86
eastern,5,197,Nkawkaw,nkawkaw,82124,48428,0,48428,58.97
eastern,5,204,Nsawam-Adoagyiri,nsawam-adoagyiri,97888,0,0,0,N/A
eastern,5,212,Ofoase/Ayirebi,ofoase-ayirebi,52516,31690,0,31690,60.34
eastern,5,217,Okere,okere,35143,21772,0,21772,61.95
eastern,5,248,Suhum,suhum,78620,48658,1303,49961,63.55
eastern,5,273,Upper Manya Krobo,upper-manya-krobo,42453,26684,0,26684,62.86
eastern,5,274,Upper West Akim,upper-west-akim,63021,37586,0,37586,59.64
eastern,5,8,Abuakwa South,abuakwa-south,55834,34239,0,34239,61.32
eastern,5,495,Yilo Krobo,yilo-krobo,70096,44370,0,44370,63.30
eastern,5,51,Asene/Akroso/Manso,asene-akroso-manso,46517,28483,768,29251,62.88
eastern,5,194,New Juaben South,new-juaben-south,98984,57021,622,57643,58.23
